Kosa Kata,Arti Kata
constriction {constricción},"Kompresi atau penyempitan yang disebabkan oleh kontraksi, seperti pada pembuluh."
contact lenses,Lensa korektif dikenakan di permukaan mata.
contraception {anticoncepción},Metode pengendalian konsepsi dengan memblokir akses atau mengganggu siklus reproduksi; kontrol kelahiran.
contracture,Resistensi ekstrem terhadap peregangan otot.
contraindicated,Tidak disarankan untuk digunakan; terutama dikatakan tentang obat yang mungkin menyebabkan komplikasi bila digunakan dal
convolutions {circunvolución},Lipatan di korteks serebral; gyri.
copulation {copulación},Hubungan seksual.
cordotomy {cordotomía},Menghapus bagian dari sumsum tulang belakang.
corium {corium},Lihat dermis.
corn {callo},"Pertumbuhan kulit keras, biasanya di jari kaki."
cornea {cornea},Bagian anterior transparan dari bola mata yang membelokkan cahaya dalam proses yang disebut refraksi.
coronal plane,Garis imajiner yang membagi tubuh menjadi posisi anterior dan posterior.
coronary angioplasty,Lihat angioplasti.
coronary,Pembuluh darah yang memasok darah kaya oksigen ke jantung.
coronary artery disease,Kondisi yang mengurangi aliran darah dan nutrisi melalui arteri jantung.
coronary bypass surgery,Lihat memotong.
corpus callosum,Jembatan serabut saraf yang menghubungkan dua belahan otak besar.
corpus luteum,Struktur yang terbentuk setelah folikel graafian terisi dengan zat kuning yang mengeluarkan estrogen dan progesteron.
cortex {corteza},Bagian luar ginjal.
corticosteroid {corticosteroide},Agen dengan sifat anti-inflamasi.
corticosteroids,Steroid diproduksi oleh korteks adrenal.
cortisol {cortisol},Hidrokortison.
cosmetic,Didesain untuk menyempurnakan tampilan bagian bodi eksterior.
Cowper's gland,Salah satu dari dua kelenjar di bawah prostat yang mengeluarkan cairan untuk melumasi bagian dalam uretra.
crackles,Suara letupan terdengar saat paru-paru kolaps atau kondisi lain; rales.
cranial cavity,Ruang di kepala yang berisi otak.
cranial nerves,Salah satu dari 12 pasang saraf yang membawa impuls ke dan dari otak.
craniectomy {cranietomía},Pengangkatan sebagian tengkorak.
craniotomy {craneotomía},Insisi ke tengkorak.
cranium {cráneo},Struktur tulang tempat otak duduk.
creatine {creatina},Zat yang ditemukan dalam urin; peningkatan kadar dapat mengindikasikan distrofi otot.
creatinine {creatinina},Komponen kreatin.
"crepitation, crepitus",Kebisingan terjadi dengan menggosok tulang.
crest {cresta},Punggungan bertulang.
Crohn's disease,Jenis penyakit iritasi usus besar tanpa bisul.
cross-sectional plane,Garis imajiner yang memotong tubuh secara horizontal.
croup {crup},Sindrom pernapasan akut pada anak-anak atau bayi yang disertai dengan batuk seperti anjing laut.
crown,Bagian gigi yang menonjol di atas garis rahang.
crust {costar},"Lapisan keras, terutama yang terbentuk dari nanah kering, seperti keropeng."
cryogenic,Menghancurkan jaringan dengan cara dibekukan.
cryoretinopexy,Memperbaiki retina yang robek menggunakan suhu dingin yang ekstrim.
cryosurgery {criocirugía},1. Pembedahan yang mengangkat jaringan dengan membekukannya dengan nitrogen cair. 2. Penghancuran dengan pembekuan.
cryptorchism,Cacat lahir dengan kegagalan salah satu atau kedua testis turun ke kantung skrotum.
CT (computed tomography) scan,Pemindaian CAT.
culdocentesis,Pengambilan sampel cairan dari dasar rongga panggul untuk melihat apakah kehamilan ektopik telah pecah.
culdoscopy,Pemeriksaan rongga panggul menggunakan endoskopi.
curettage,"Pengangkatan jaringan dari suatu daerah, seperti luka, dengan cara dikorek."
curette,Alat tajam untuk mengikis tisu.
Cushing's syndrome,Kelompok gejala yang disebabkan oleh aktivitas kelenjar adrenal yang berlebihan.
cusp,Proyeksi gigi berujung tajam.
cuspid,Gigi ketiga dari median garis rahang dengan titik puncak.
cuticle {cutícula},"Pita tipis epidermis yang mengelilingi tepi kuku, kecuali di bagian atas."
cyanosis {cianosis},"Warna kebiruan atau keunguan, pada kulit, disebabkan oleh oksigenasi darah yang tidak memadai."
cyst {quiste},Kantung abnormal berisi cairan.
cystectomy {cistectomía},Operasi pengangkatan kandung kemih.
cystic,Diisi dengan cairan.
cystic fibrosis,Penyakit yang menyebabkan penyumbatan saluran napas kronis dan juga memengaruhi saluran bronkial.
cystitis {cistitis},Radang kandung kemih.
cystocele {cistocele},Hernia kandung kemih.
cystolith {cistolito},Batu kandung kemih.
cystopexy,Operasi pemasangan kandung kemih ke dinding perut.
cystoplasty,Perbaikan bedah kandung kemih.
cystorrhaphy {cistorrafia},Menjahit kandung kemih yang rusak.
cystoscope {cistoscopio},Instrumen tubular untuk memeriksa bagian dalam kandung kemih.
cystoscopy,Penyisipan cystoscope untuk memeriksa kandung kemih dengan cahaya.
cytoplasm,Bagian luar sel yang mengelilingi inti.
cytotoxic cell T`,sel yang membantu dalam penghancuran sel yang terinfeksi di seluruh tubuh.
dacryoadenitis,Peradangan pada kelenjar lakrimal.
dacryocystectomy,Pengangkatan kantung lakrimal.
dacryocystitis,Peradangan saluran air mata.
deafness,Kehilangan atau tidak adanya pendengaran.
debridement,Pengangkatan jaringan mati dari luka.
decibel {decibel},Ukur intensitas suara.
deciduous teeth,Gigi sulung.
decongestants,Agen yang meredakan lendir yang tersumbat pada saluran pernapasan bagian atas.
"decubitus (pl., decubiti) {decubiti} ulcer",Ulkus kronis pada kulit di atas bagian tulang yang berada di bawah tekanan konstan; tekanan sakit.
dedifferentiated,Kurangnya susunan sel yang teratur dan normal.
deep,Jauh dari permukaan (tubuh).
deep vein thrombosis,"Pembentukan trombus (bekuan) di vena dalam, seperti vena femoralis."
defecation {defecación},Keluarnya kotoran dari anus.
degenerative arthritis,Artritis dengan erosi tulang rawan.
deglutition {deglución},Menelan.
deliriousness,"Kebingungan mental, seringkali dengan halusinasi, biasanya memiliki penyebab fisik seperti demam tinggi."
delusional,Memiliki keyakinan salah akibat pemikiran yang tidak teratur.
dementia {demencia},"1. Penurunan kapasitas mental, biasanya pada manula. 2. Gangguan, terutama pada usia dewasa yang lebih tua, dengan beber"
demyelination {desmielinación},"Kerusakan selubung mielin, khususnya pada MS."
dendrite {dendrita},Perpanjangan percabangan tipis dari sel saraf yang mengalirkan impuls saraf ke tubuh sel.
densitometer,Perangkat yang mengukur kepadatan tulang menggunakan cahaya dan sinar-x.
dentin,Lapisan tulang bagian dalam mahkota gigi.
dentist,Praktisi terlatih dalam kedokteran gigi.
dentures,Gigi pengganti tiruan.
depigmentation,Hilangnya warna kulit.
depolarization {despolarización},Keadaan kontraksi jaringan miokard dalam sistem konduksi jantung.
depression,Kondisi melumpuhkan dengan hilangnya minat dan kesenangan di hampir semua aktivitas.
dermabrasion {dermabrasión},"Menghilangkan kerutan, bekas luka, tato, dan tanda lainnya dengan cara dikikis dengan kuas atau kertas ampelas."
dermatitis {dermatitis},Radang kulit.
dermatochalasis {dermatocalasia},Kehilangan elastisitas kelopak mata.
dermatology je,Spesialisasi medis yang menangani penyakit kulit.
dermis {dermis},"Lapisan kulit di bawah epidermis yang berisi pembuluh darah, saraf, dan beberapa kelenjar."
diabetes {diabetes},"Lihat diabetes tipe I, diabetes tipe II."
diabetes insipidus,Kondisi yang disebabkan oleh hiposekresi hormon antidiuretik.
diabetes mellitus,"Lihat diabetes tipe I, diabetes tipe II."
diabetic nephropathy,Penyakit ginjal akibat diabetes.
diabetic neuropathy,Hilangnya sensasi pada ekstremitas akibat diabetes.
diabetic retinopathy,Hilangnya penglihatan secara bertahap karena diabetes.
diagnostic,Membantu menyelesaikan diagnosis. pencitraan diagnostik Penggunaan teknik pencitraan dalam mendiagnosis penyakit.
dialysis {diálisis},Metode filtrasi digunakan bila ginjal gagal.
diaphoresis {diaforesis},Ekskresi cairan oleh kelenjar keringat; berkeringat.
diaphragm {diafragma},Otot yang membagi rongga perut dan dada; otot membran antara rongga perut dan dada yang berkontraksi dan rileks selama s
diaphysis {diáfisis},Bagian tengah panjang dari tulang panjang; batang.
diarrhea {diarrea},Tinja encer dan encer.
"diarthroses (sing., diarthrosis)",Sendi yang bisa digerakkan secara bebas.
diastole {diástole},Fase relaksasi detak jantung.
diencephalon {diencéfalo},Salah satu dari empat struktur utama otak; itu adalah bagian otak yang dalam dan berisi talamus.
differentiated,Tumbuh secara tertib.
diffuse,Menyebar secara merata.
digestion {digestión},Konversi makanan menjadi nutrisi bagi tubuh dan menjadi produk limbah untuk dikeluarkan dari tubuh.
digestive system,"Sistem tubuh yang meliputi seluruh organ pencernaan dan kotoran ekskresi, mulai dari mulut hingga anus."
digital subtraction angiography,Penggunaan dua angiogram dilakukan dengan pewarna berbeda untuk memberikan perbandingan antar hasil.
dilator,Terapkan digunakan untuk memperbesar bukaan.
diopter,Satuan daya pembiasan lensa.
diphtheria {difteria},Infeksi akut pada tenggorokan dan saluran pernapasan bagian atas yang disebabkan oleh bakteri.
diplopia {diplopía},Visi ganda.
discoid lupus erythematosus (DLE),Bentuk lupus yang ringan.
disk {disco},Lihat cakram tulang rawan.
diskography {discografía},Gambar radiografik dari diskus intervertebralis dengan injeksi media kontras ke tengah disk.
dislocation {dislocación},Pergerakan sendi keluar dari posisi normalnya sebagai akibat dari cedera atau gerakan berat yang tiba-tiba.
dissociative disorder,"Kondisi dengan hilangnya kemampuan secara bertahap atau tiba-tiba untuk mengintegrasikan memori, identitas, dan kemampua"
distal,Jauh dari titik perlekatan ke bagasi.
diuretic,Agen farmakologis yang meningkatkan buang air kecil; obat yang mempromosikan ekskresi urin.
diverticula,Kantung kecil di dinding usus.
diverticulectomy,Penghapusan divertikula.
diverticulitis {diverticulitis},Peradangan divertikula.
diverticulosis {diverticulosis},Kondisi di mana divertikula menjebak makanan atau bakteri.
dopamine {dopamina},Zat di otak atau zat buatan yang membantu meredakan gejala penyakit Parkinson.
Doppler ultrasound,Tes ultrasonografi aliran darah di pembuluh darah tertentu.
dorsal,Di atau ke arah belakang tubuh.
dorsal cavity,Rongga utama di sisi belakang tubuh yang berisi rongga tengkorak dan tulang belakang.
dorsal vertebrae,Vertebra toraks.
drilling,Memotong area yang membusuk dari gigi dengan bor gigi kecil.
drug {droga},Agen biologis atau kimia yang dapat membantu atau mengubah fungsi tubuh.
druggist {boticario},Lihat apoteker.
ductless gland,Kelenjar endokrin.
ductus arteriosus,Struktur dalam sistem peredaran darah janin yang melaluinya darah mengalir untuk melewati paru-paru janin yang tidak ber
ductus venosus,Struktur dalam sistem peredaran darah janin yang melaluinya darah mengalir untuk melewati hati janin.
duodenal ulcer,Bisul di duodenum.
duodenum {duodeno},"Bagian atas usus kecil tempat chyme bercampur dengan empedu, cairan pankreas, dan jus usus untuk melanjutkan proses penc"
dura mater,Lapisan meninges terluar.
duritis,Radang dura mater.
dwarfism {enanismo},"Pertumbuhan kerdil yang tidak normal yang disebabkan oleh hiposekresi hormon pertumbuhan, kekurangan kelenjar tiroid baw"
dyscrasia {discrasia},Penyakit apa pun dengan partikel abnormal dalam darah.
dysentery {disentería},Iritasi pada saluran usus dengan tinja yang encer.
dysmenorrhea {dismenorrea},Menstruasi yang menyakitkan.
dyspareunia {dispareunia},"Hubungan seksual yang menyakitkan karena berbagai kondisi, seperti kista, infeksi, atau kekeringan, di vagina."
dyspepsia {dispepsia},Gangguan pencernaan.
dysphagia {disfagia},Kesulitan menelan.
dysphasia {disfasia},Kesulitan berbicara.
dysphonia {disfonía},Suara serak biasanya disebabkan oleh radang tenggorokan.
dysplasia,Pertumbuhan jaringan tidak normal.
dysplastic,Penampilan sel yang tidak normal.
dyspnea {disnea},Sulit bernapas.
dysrhythmia {disritmia},Irama jantung tidak normal.
dystonia {distonia},Nada abnormal pada jaringan.
dysuria {disuria},Buang air kecil yang menyakitkan.
"ear {oreja, oído}",Alat pendengar.
eardrum {tambor de oído},Membran berbentuk oval dan semitransparan yang bergerak sebagai respons terhadap gelombang suara dan menghasilkan getara
"ecchymosis (pl., ecchymoses) {equimosis}",Bercak kulit berwarna keunguan (lebam) yang disebabkan oleh pecahnya pembuluh darah di bawah permukaan.
eccrine glands {glándulas ecrinas},"Kelenjar keringat yang terjadi di seluruh tubuh, kecuali kelenjar apokrin terjadi."
echocardiography {ecocardiografía},Penggunaan gelombang suara untuk menghasilkan gambar yang menunjukkan struktur dan gerak jantung.
eczema {eccema},"Kondisi peradangan kulit yang parah, biasanya tidak diketahui penyebabnya."
edema {edema},"Retensi air di sel, jaringan, dan gigi berlubang, terkadang karena penyakit ginjal."
efferent (motor) neuron,Neuron yang membawa informasi ke otot dan kelenjar dari sistem saraf pusat.
ejaculation {eyaculación},Pengusiran air mani ke luar tubuh.
ejection fraction,Persentase volume isi ventrikel kiri yang dikeluarkan dengan setiap kontraksi.
elbow {codo},Sambungan antara lengan atas dan lengan bawah.
electrocardiography,Penggunaan elektrokardiograf dalam diagnosis.
electrocauterization,Penghancuran dengan membakar jaringan.
electroconvulsive therapy (ECT),Lihat terapi kejut listrik.
electrodesiccation,Pengeringan dengan arus listrik.
electroencephalogram (EEG) {electroencefalógrafo},Catat impuls listrik otak.
electrolyte {electrólito},Zat apa pun yang menghantarkan listrik dan diurai olehnya.
electromyogram {electromiógrafo},Gambar grafis aksi otot menggunakan arus listrik.
electrophoresis {electroforesis},Proses pemisahan partikel dalam suatu larutan dengan mengalirkan listrik melalui zat cair.
electroshock therapy (EST),"Meneruskan arus listrik melalui area tertentu di otak untuk mengubah atau ""mengacak"" komunikasi dari area tersebut ke pr"
elimination,Konversi bahan limbah dari cairan menjadi setengah padat dan pembuangan bahan tersebut melalui buang air besar.
embolectomy {embolectomía},Operasi pengangkatan embolus.
embolic stroke,Stroke mendadak yang disebabkan oleh embolus.
embolus {émbolo},Massa bahan asing yang menghalangi kapal; bekuan dari suatu tempat di tubuh yang menghalangi pembuluh darah kecil di ota
embryo,Sel telur dibuahi sampai sekitar 10 minggu masa kehamilan.
emesis {emesis},Lihat regurgitasi.
emollient,Agen yang menghaluskan atau melembutkan kulit.
emphysema {enfisema},Kondisi kronis hiperinflasi kantung udara; sering disebabkan oleh merokok dalam waktu lama.
empyema {empiema},Nanah di rongga pleura.
emulsification,Memecah lemak.
enamel,Lapisan luar gigi yang putih dan mengkilap.
encapsulated,Diadakan dalam kapsul; jinak.
encephalitis {encefalitis},Radang otak.
encephalogram {encefalograma},Rekam studi radiografi ventrikel otak.
endarterectomy,Operasi pengangkatan bagian yang sakit dari lapisan arteri.
endocarditis {endocarditis},"Peradangan pada endokardium, terutama peradangan yang disebabkan oleh bakteri (misalnya stafilokokus) atau agen jamur."
endocardium {endocardio},Lapisan membran bilik dan katup jantung; lapisan jaringan jantung paling dalam.
endocrine gland {glándula endocrina},"Kelenjar yang mengeluarkan zat ke dalam aliran darah, bukan ke saluran."
endocrine system,Sistem tubuh yang meliputi kelenjar yang mengeluarkan hormon untuk mengatur fungsi tubuh tertentu.
endodontist,Dokter gigi yang memiliki spesialisasi dalam perawatan saluran akar.
endolymph {endolinfa},Cairan di dalam labirin membran.
endometriosis {endometriosis},Kondisi abnormal dimana ditemukan jaringan dinding rahim di pelvis atau di dinding perut.
endometrium {endometrio},Lapisan mukosa bagian dalam rahim.
endoscope {endoscopio},Tube digunakan untuk melihat rongga tubuh.
endosteum {endostio},Lapisan rongga meduler.
endothelium {endotelio},Lapisan arteri yang mengeluarkan zat ke dalam darah.
endotracheal intubation (ET),"Penyisipan tabung melalui hidung atau mulut, faring, dan laring dan ke dalam trakea untuk membuat jalan napas."
endovascular surgery,"Berbagai prosedur yang dilakukan selama kateterisasi jantung, seperti angioskopi dan aterektomi."
end-stage renal disease (ESRD),Tahap terakhir gagal ginjal.
energy therapy,Terapi menggunakan medan energi.
enteric-coated,Memiliki lapisan (seperti pada kapsul) yang mencegah iritasi lambung.
enteritis {enteritis},Radang usus kecil.
enucleation {enucleación},Pengangkatan bola mata.
enuresis {enuresis},Inkontinensia urin.
enzyme {enzima},Protein yang menyebabkan perubahan kimiawi pada zat di saluran pencernaan.
"enzyme-linked immunosorbent assay (EIA, ELISA)",Tes digunakan untuk menyaring darah untuk keberadaan antibodi terhadap virus atau bakteri yang berbeda.
eosinophil {eosinófilo},Jenis granulosit.
eosinophilia {eosinofilia},Kondisi dengan jumlah eosinofil yang abnormal dalam darah.
epicardium {epicardio},Lapisan terluar jaringan jantung.
epidermis {epidermis},Bagian luar kulit mengandung beberapa lapisan.
epidermoid,Menyerupai sel epitel.
epididymectomy,Penghapusan epididimis.
epididymis {epidídimo},Kelompok saluran di bagian atas testis tempat penyimpanan sperma.
epididymitis {epididimitis},Peradangan pada epididimis.
epidural space,Area antara pia mater dan tulang sumsum tulang belakang.
epigastric region,Area tubuh tepat di atas perut.
epiglottis {epiglotis},Flap tulang rawan yang menutupi laring saat menelan untuk mencegah makanan masuk ke jalan napas; flap jaringan yang dapa
epiglottitis {epiglotitis},Peradangan pada epiglotis.
epilepsy,Aktivitas kejang berulang kronis.
epinephrine {epinefrina},Hormon yang dilepaskan oleh medula adrenal sebagai respons terhadap stres; adrenalin.
epiphora {epífora},Robek yang berlebihan.
epiphyseal plate,"Jaringan tulang rawan yang diganti selama tahun-tahun pertumbuhan, tetapi akhirnya mengeras dan menghilang saat pertumbu"
epiphysitis {epifisitis},Peradangan pada epifisis.
epispadias {epispadias},Cacat lahir dengan pembukaan uretra yang tidak normal di sisi atas penis.
epistaxis,"Pendarahan dari hidung, biasanya disebabkan oleh trauma atau pecahnya pembuluh darah hidung secara tiba-tiba."
epithalamus {epitálamo},Salah satu bagian diencephalon itu; berfungsi sebagai stasiun pemancar sensorik.
epithelial tissue,Jaringan yang menutupi atau melapisi badan atau bagian-bagiannya.
equilibrium {equilibrio},Rasa keseimbangan.
erosion {erosion},"Mengikis permukaan kulit, terutama jika disebabkan oleh gesekan."
eructation {eructación},Bersendawa.
erythroblastosis fetalis,Gangguan inkompatibilitas antara ibu dengan Rh negatif dan janin Rh positif.
erythrocyte {eritrocito},Sel darah merah dewasa.
erythrocyte sedimentation rate (ESR),Tes untuk menilai di mana sel darah merah jatuh melalui plasma.
erythropenia {eritropenia},Gangguan dengan jumlah sel darah merah yang sangat rendah.
erythropoietin {eritropoyetina},Hormon yang dikeluarkan oleh ginjal untuk merangsang produksi sel darah merah.
esophagitis {esofagitis},Radang esofagus.
esophagoplasty {esofagoplastia},Perbaikan esofagus.
esophagoscopy {esophagoscopia},Pemeriksaan esofagus dengan esofagoskop.
esophagus {esófago},Bagian dari saluran pencernaan dari faring ke lambung.
esotropia {esotropía},Penyimpangan satu mata ke dalam.
essential hypertension,Tekanan darah tinggi tanpa penyebab yang diketahui.
estrogen {estrógeno},Salah satu hormon wanita utama yang diproduksi oleh ovarium.
ethmoid bone,Tulang wajah tidak beraturan yang menempel pada tulang sphenoid.
ethmoid sinuses,Sinus di kedua sisi rongga hidung antara setiap mata dan sinus sphenoid.
eupnea {eupnea},Pernapasan normal.
eustachian tube,Tabung yang menghubungkan telinga tengah ke faring.
euthanasia,Membantu bunuh diri atau membunuh seseorang dengan penyakit yang dapat disembuhkan atau menyakitkan.
evoked potentials,Catat pola gelombang listrik yang diamati dalam EEG.
exanthematous viral disease,Penyakit virus yang menyebabkan ruam pada kulit.
excisional biopsy,Pengangkatan tumor dan jaringan sekitarnya untuk pemeriksaan.
excitability {excitabilidad},Kemampuan menanggapi rangsangan.
excoriation {excoriación},"Cedera pada permukaan kulit yang disebabkan oleh goresan, lecet, atau luka bakar, biasanya disertai dengan keluarnya cai"
excrete,Untuk memisahkan dan mengusir.
exenteration,"Pengangkatan organ, tumor, dan jaringan di sekitarnya."
exfoliative biopsy,Pengikisan sel kulit dari permukaan kulit untuk pemeriksaan.
exhalation {exahalación},Hembuskan napas.
exocrine gland {exocrine},1. Setiap kelenjar yang melepaskan zat melalui saluran ke lokasi tertentu. 2. Kelenjar yang keluar melalui saluran menuj
"exophthalmos, exophthalmus {exoftalmía}",Tonjolan bola mata yang tidak normal; tonjolan abnormal pada mata khas penyakit Graves.
exostosis {exostosis},Pertumbuhan tulang abnormal yang dibatasi oleh tulang rawan.
exotropia,Deviasi satu mata ke luar.
expectorants,Agen yang mempromosikan batuk dan pengeluaran lendir.
expiration {espiración},Penghembusan.
external fixation device,Perangkat yang diterapkan secara eksternal untuk menahan dahan di tempatnya.
external nares,Lihat lubang hidung.
external respiration,Pertukaran udara antara tubuh dan lingkungan luar.
extracorporeal shock wave lithotripsy (ESWL),Memecah batu ginjal dengan menggunakan gelombang kejut dari luar tubuh.
exudate {exudado},"Cairan apa pun yang dikeluarkan dari jaringan, terutama cairan yang dikeluarkan dari luka pada kulit."
eye {ojo},Organ penglihatan.
eyebrow {ceja},"Gumpalan rambut, biasanya sekitar setengah inci di atas mata, yang membantu mencegah partikel asing masuk ke mata."
eyelashes {pestaña},Sekelompok rambut yang menonjol dari ujung kelopak mata; membantu mencegah partikel asing memasuki mata.
eyelid {párpado},Penutup mata yang bisa digerakkan.
eyestrain {vista fatigada},Asthenopia.
eyetooth,Gigi taring.
fainting,Lihat sinkop.
fallopian tube,Salah satu dari dua saluran yang mengarah dari ovarium ke rahim; tabung rahim.
farsightedness {hiperopía},Rabun dekat.
"fascia (pl., fasciae) {fascia}",Lembaran jaringan fibrosa yang membungkus otot.
fasting blood sugar,Tes glukosa dalam darah setelah puasa 12 jam.
fatty acid,Asam yang berasal dari lemak selama proses pencernaan.
feces {heces},"Limbah setengah padat yang bergerak melalui usus besar ke anus, kemudian dikeluarkan dari tubuh."
femoral artery,Arteri yang memasok darah ke paha.
femur {fémur},Tulang paha panjang.
fertilization,Penyatuan sel telur dengan sperma.
fetus,Mengembangkan produk konsepsi dari 8 minggu hingga lahir.
fever blister,Letusan di sekitar mulut atau bibir; virus herpes simpleks Tipe 1.
fibrillation {fibrilación},"Irama jantung acak, kacau, tidak teratur."
fibrin clot,Benang pembentuk gumpalan terbentuk di lokasi cedera selama koagulasi di mana trombosit menggumpal bersama dengan berbag
fibrinogen {fibrinógeno},Protein dalam plasma yang membantu pembekuan.
fibroid {fibroide},Tumor jinak banyak ditemukan di rahim.
fibula {peroné},Tulang panjang terkecil di kaki bagian bawah.
filtration {filtración},Proses pemisahan zat padat dari zat cair dengan melewatkannya melalui zat berpori.
fimbriae {fimbrias},Ujung tuba rahim yang menyerupai rambut yang menyapu sel telur ke dalam rahim.
first bicuspid,Gigi keempat dari median garis rahang.
first molar,Gigi keenam dari median garis rahang.
first-degree burn,"Luka bakar paling ringan, menyebabkan luka pada permukaan kulit tanpa melepuh."
fissure {fisura},1. Celah dalam di kulit. 2. Alur atau celah yang dalam (seperti pada tulang). 3. Salah satu dari banyak lekukan otak bes
fistula {fistula},Pembukaan jaringan yang tidak normal.
flaccid {fláccido},Tanpa nada; santai.
flagellum {flagelo},Ekor di ujung sperma yang membantunya bergerak.
flat bones,"Tulang pipih tipis yang menutupi area tertentu, seperti tengkorak."
flatulence {flatulencia},Gas di perut atau usus.
flatus {flato},Gas di saluran usus bagian bawah yang bisa dikeluarkan melalui anus.
fluoride,Zat yang diberikan sebagai obat kumur untuk mencegah kerusakan gigi.
fluoroscopy,X-ray di mana gambar diproyeksikan ke layar fluoresen.
flutter {aleteo},Detak jantung teratur tapi sangat cepat.
Foley catheter,Kateter yang menetap yang ditahan oleh balon yang mengembang di dalam kandung kemih.
follicle-stimulating hormone (FSH),Hormon yang diperlukan untuk pematangan oosit dan ovulasi; hormon yang dilepaskan oleh hipofisis anterior untuk membantu
follicular,Mengandung kantung kelenjar.
Fontan's operation,Prosedur pembedahan yang membuat bypass dari atrium kanan ke arteri pulmonalis utama; Prosedur Fontan.
fontanelle {fontanela},Bagian selaput lembut di atas tengkorak bayi.
foramen {agujero},Pembukaan atau perforasi melalui tulang.
foramen magnum,Pembukaan di tulang oksipital yang dilalui sumsum tulang belakang.
foramen ovale,Pembukaan di septum jantung janin yang menutup saat lahir.
forceps,Alat bedah yang digunakan untuk memegang dan mengeluarkan sesuatu.
foreskin {prepucio},Lipat kulit di bagian atas labia minora; lipatan kulit yang menutupi kelenjar penis; dihapus dengan sunat di banyak buda
"fossa (pl., fossae) {fosa}","Depresi, seperti pada tulang."
fovea centralis,Depresi di tengah makula lutea; merasakan gambar paling tajam.
fracture {fractura},"Istirahat, terutama di tulang."
frenulum {frenillo},Selaput lendir yang menempelkan lidah ke dasar mulut.
